episode,finalReward
01-01-01.yaml,[0.9886]
01-01-02.yaml,[0.9846]
01-01-03.yaml,[0.9886]
01-02-01.yaml,[0.95419997]
01-02-02.yaml,[0.95419997]
01-02-03.yaml,[0.943]
01-03-01.yaml,[0.9406]
01-03-02.yaml,[0.7206]
01-03-03.yaml,[0.7086]
01-04-01.yaml,[0.9174]
01-04-02.yaml,[0.45099938]
01-04-03.yaml,[0.7534001]
01-05-01.yaml,[0.9358]
01-05-02.yaml,[0.89979994]
01-05-03.yaml,[0.88299996]
01-06-01.yaml,[2.9426]
01-06-02.yaml,[2.937]
01-06-03.yaml,[2.2314012]
01-07-01.yaml,[4.9422]
01-07-02.yaml,[4.488599]
01-07-03.yaml,[4.2238007]
01-08-01.yaml,[0.4619]
01-08-02.yaml,[-0.9975971]
01-08-03.yaml,[0.4419]
01-09-01.yaml,[0.943]
01-09-02.yaml,[0.94380003]
01-09-03.yaml,[0.9246]
01-10-01.yaml,[4.9422]
01-10-02.yaml,[4.9389997]
01-10-03.yaml,[4.9214]
01-11-01.yaml,[0.4619]
01-11-02.yaml,[-0.9975971]
01-11-03.yaml,[0.4419]
01-12-01.yaml,[4.3014007]
01-12-02.yaml,[4.4253993]
01-12-03.yaml,[4.016603]
01-13-01.yaml,[0.84699994]
01-13-02.yaml,[0.23500109]
01-13-03.yaml,[0.3981998]
01-14-01.yaml,[-0.32129848]
01-14-02.yaml,[0.27550006]
01-14-03.yaml,[-0.10130021]
01-15-01.yaml,[0.84699994]
01-15-02.yaml,[0.23500109]
01-15-03.yaml,[0.3981998]
01-16-01.yaml,[0.10509947]
01-16-02.yaml,[0.2627001]
01-16-03.yaml,[0.3115]
01-17-01.yaml,[0.10509947]
01-17-02.yaml,[0.2627001]
01-17-03.yaml,[0.3115]
01-18-01.yaml,[0.64379966]
01-18-02.yaml,[0.7846001]
01-18-03.yaml,[0.8174]
01-19-01.yaml,[0.85099995]
01-19-02.yaml,[0.8557999]
01-19-03.yaml,[0.7670001]
01-20-01.yaml,[2.4072258]
01-20-02.yaml,[1.6472081]
01-20-03.yaml,[1.6472081]
01-21-01.yaml,[8.510222]
01-21-02.yaml,[8.592649]
01-21-03.yaml,[8.592649]
01-22-01.yaml,[38.48069]
01-22-02.yaml,[38.48069]
01-22-03.yaml,[38.48069]
01-23-01.yaml,[3.824188]
01-23-02.yaml,[3.824188]
01-23-03.yaml,[3.824188]
01-24-01.yaml,[-0.9975971]
01-24-02.yaml,[-0.9975971]
01-24-03.yaml,[-0.9975971]
01-25-01.yaml,[-0.9975971]
01-25-02.yaml,[-0.9975971]
